dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5044702824897708,0.4995171277427706,0.5098510231241621,0.0103338953813915,0.95,1000,20262203,24421,24421,0.5044702824897707,0.4999518044117728,0.5093322069861551,0.0093804025743823,50,1.1016473226440378
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.009786659022972,0.0080258793661193,0.0110560583104704,0.0030301789443511,0.95,1000,20262204,24421,24421,0.009786659022972,0.0079439826378936,0.0111420498751074,0.0031980672372138,50,0.9475032010243266
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0014310347651611,0.0008127109693842,0.0020087088852831,0.0011959979158988,0.95,1000,20262205,24421,24421,0.0014310347651611,0.0008791826892652,0.0019671341604902,0.001087951471225,50,1.0993118236718251
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5116927139047024,0.5066673357909272,0.5165668303107789,0.0098994945198517,0.95,1000,20262303,24421,24421,0.5116927139047025,0.5069597404113158,0.5166433003243955,0.0096835599130797,50,1.0222990933820046
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0097241445204264,0.0078731559276479,0.0122026125056304,0.0043294565779824,0.95,1000,20262304,24421,24421,0.0097241445204264,0.007746076919227,0.012301912288604,0.0045558353693769,50,0.9503101466492496
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006551738258056,0.0003265632038,0.0013107017087167,0.0009841385049167,0.95,1000,20262305,24421,24421,0.0006551738258056,0.0003368002948282,0.0011307458744523,0.000793945579624,50,1.2395541082082382
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5116927139047024,0.5059423143697481,0.5168318312516724,0.0108895168819243,0.95,1000,20262403,24421,24421,0.5116927139047024,0.5069597370577787,0.5166433007016684,0.0096835636438896,50,1.1245360987321713
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0097241445204264,0.0077801891814422,0.0119657910541473,0.0041856018727051,0.95,1000,20262404,24421,24421,0.0097241445204264,0.007746076919227,0.012301912288604,0.0045558353693769,50,0.9187342239887748
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006551738258056,0.0002866385487899,0.0012693992874984,0.0009827607387084,0.95,1000,20262405,24421,24421,0.0006551738258056,0.0003368002948282,0.0011307458744523,0.000793945579624,50,1.2378187673440035
adult_income,random_forest,modified_entropy,best_auc_score,AUC,0.6286392984362938,0.6235344821771001,0.6335443951529646,0.0100099129758645,0.95,1000,20262503,24421,24421,0.6286392984362937,0.624342093837966,0.6339587919983419,0.0096166981603759,50,1.040888755051997
